iter	Passed	Remaining
719	2191	852
720	2194	849
721	2197	846
722	2200	843
723	2203	840
724	2206	837
725	2209	833
726	2212	830
727	2215	827
728	2218	824
729	2221	821
730	2224	818
731	2227	815
732	2230	812
733	2233	809
734	2236	806
735	2239	803
736	2242	800
737	2245	797
738	2248	794
739	2251	790
740	2254	787
741	2257	784
742	2260	781
743	2263	778
744	2266	775
745	2269	772
746	2272	769
747	2275	766
748	2278	763
749	2281	760
750	2284	757
751	2287	754
752	2290	751
753	2293	748
754	2296	745
755	2299	742
756	2302	739
757	2305	736
758	2308	732
759	2311	729
760	2314	726
761	2316	723
762	2319	720
763	2322	717
764	2325	714
765	2328	711
766	2331	708
767	2334	705
768	2337	702
769	2340	699
770	2343	695
771	2346	692
772	2349	689
773	2352	686
774	2355	683
775	2358	680
776	2361	677
777	2364	674
778	2367	671
779	2370	668
780	2373	665
781	2376	662
782	2379	659
783	2382	656
784	2385	653
785	2388	650
786	2391	647
787	2394	644
788	2397	641
789	2400	638
790	2402	634
791	2405	631
792	2408	628
793	2412	625
794	2414	622
795	2417	619
796	2421	616
797	2424	613
798	2426	610
799	2429	607
800	2433	604
801	2437	601
802	2441	598
803	2445	596
804	2448	593
805	2451	590
806	2454	586
807	2457	583
808	2460	580
809	2462	577
810	2465	574
811	2468	571
812	2471	568
813	2473	565
814	2476	562
815	2479	559
816	2482	556
817	2485	553
818	2488	550
819	2491	546
820	2494	543
821	2497	540
822	2500	537
823	2503	534
824	2506	531
825	2510	528
826	2517	526
827	2521	523
828	2525	520
829	2528	517
830	2533	515
831	2536	512
832	2539	509
833	2543	506
834	2546	503
835	2550	500
836	2554	497
837	2557	494
838	2561	491
839	2565	488
840	2569	485
841	2572	482
842	2575	479
843	2581	477
844	2586	474
845	2591	471
846	2595	468
847	2598	465
848	2602	462
849	2605	459
850	2608	456
851	2612	453
852	2617	451
853	2621	448
854	2625	445
855	2628	442
856	2631	439
857	2636	436
858	2640	433
859	2644	430
860	2648	427
861	2653	424
862	2658	422
863	2664	419
864	2669	416
865	2675	414
866	2681	411
867	2687	408
868	2693	406
869	2698	403
870	2703	400
871	2706	397
872	2710	394
873	2716	391
874	2722	388
875	2730	386
876	2734	383
877	2738	380
878	2742	377
879	2745	374
880	2748	371
881	2752	368
882	2755	365
883	2759	362
884	2763	359
885	2767	356
886	2770	352
887	2773	349
888	2777	346
889	2780	343
890	2783	340
891	2787	337
892	2790	334
893	2795	331
894	2799	328
895	2802	325
896	2806	322
897	2811	319
898	2814	316
899	2817	313
900	2821	309
901	2824	306
902	2828	303
903	2831	300
904	2834	297
905	2838	294
906	2842	291
907	2846	288
908	2849	285
909	2853	282
910	2856	279
911	2859	275
912	2863	272
913	2866	269
914	2869	266
915	2874	263
916	2878	260
917	2881	257
918	2885	254
919	2890	251
920	2893	248
921	2896	245
922	2900	241
923	2905	238
924	2910	235
925	2914	232
926	2919	229
927	2923	226
928	2927	223
929	2931	220
930	2934	217
931	2937	214
932	2941	211
933	2944	208
934	2948	204
935	2952	201
936	2956	198
937	2959	195
938	2962	192
939	2966	189
940	2971	186
941	2975	183
942	2979	180
943	2983	176
944	2986	173
945	2991	170
946	2995	167
947	2998	164
948	3004	161
949	3009	158
950	3013	155
951	3017	152
952	3020	148
953	3024	145
954	3027	142
955	3030	139
956	3034	136
957	3038	133
958	3043	130
959	3046	126
960	3050	123
961	3053	120
962	3057	117
963	3060	114
964	3064	111
965	3067	107
966	3070	104
967	3074	101
968	3078	98
969	3082	95
970	3085	92
971	3091	89
972	3095	85
973	3098	82
974	3102	79
975	3106	76
976	3110	73
977	3113	70
978	3117	66
979	3120	63
980	3124	60
981	3127	57
982	3130	54
983	3133	50
984	3136	47
985	3140	44
986	3143	41
987	3146	38
988	3149	35
989	3152	31
990	3156	28
991	3159	25
992	3162	22
993	3166	19
994	3169	15
995	3172	12
996	3175	9
997	3179	6
998	3183	3
999	3187	0
